image_stem,texture_score,perc_bleached,median_whiteness_score,mean_whiteness_score,severity
C6_Gy_EM_T2_27nov24_CGomez_corr,-0.7140036046478341,0.0,-0.1826241320971138,-0.21169518076659155,-0.2706305485918115
C6_Gy_EP_T1_27nov24_HBenavides_corr,0.1849463309706391,54.293927489922346,-0.11356215876409478,-0.08185118521497484,-0.009735168581101204
C6_Gy_EP_T2_27nov24_HBenavides_corr,-1.0871894014021861,4.218753933839082,-0.4013446082734124,-0.46999741223650116,-0.4732566660871508
C6_Gy_EP_T3_27nov24_HBenavides_corr,0.19190022162370923,63.340729427655674,0.12026479831393994,0.24407890993008774,0.10806278352664397
C6_Gy_ESa_T1_27nov24_HBenavides_corr,0.20977937937481206,40.01593635069581,0.2349296444696841,0.23318096963226098,0.16947652418224107
C6_Gy_ESa_T2_27nov24_HBenavides_corr,-0.3547503788411971,7.489141547380484,0.0724934102721678,0.03468539197784107,-0.05345343149212433
C6_Gy_ESa_T3_27nov24_HBenavides_corr,-1.1739055039359476,1.6915139494859879,-0.1368496293609862,-0.8910655360742967,-0.363852373929911
C6_Gy_ESb_T1_27nov24_CGomez_corr,-0.05465839498539174,2.5450221941333466,0.1512062247340713,0.1317362857199779,0.06126232802622794
C6_Gy_ESb_T2_27nov24_CGomez_corr,-0.1403857560445262,32.06708095122395,-0.12467743763614816,-0.2086404425205395,-0.09726616455642993
C6_Gy_ESb_T3_27nov24_CGomez_corr,0.0908408029890031,42.717643744793826,0.4275280878493161,0.588697009747333,0.2350764841488694
C6_Gy_PM_T1_27nov24_CGomez_corr,-0.5958197570678333,0.1727744623297513,-0.06172380441251043,-0.11423820489736237,-0.18083590234596852
C6_Gy_PM_T2_27nov24_CGomez_corr,0.22709366212785748,72.75281063313518,0.6868411631456227,0.6198702697461946,0.39811846955713753
C6_Gy_PM_T3_27nov24_CGomez_corr,-0.03503796160846509,2.8822425479091645,-0.09256083125903045,-0.14402106919754692,-0.05476949174369419
