image_stem,lap_var_gray_masked,lbp_var_gray_masked,glcm_correlation,perc_bleached,has_bleached,lap_var_gray_masked_std,lbp_var_gray_masked_std,glcm_correlation_std,texture_score
C10_BC_PM_T1_29nov24_CDaza_corr,130.9377529045285,6.588751712823901,0.9909060590139178,16.614988931659084,True,-0.03844481926106872,1.1747531111582297,0.2903522140334178,0.209631127545795
C10_BC_PM_T2_29nov24_CDaza_corr,84.04191683412797,3.246623607806412,0.9941531689270431,68.69891489310838,True,-0.46967110304419113,-0.46870036495630996,0.6260552532470076,0.2053693901783267
C10_BC_PM_T3_29nov24_CDaza_corr,69.03867514378392,5.755569438278084,0.9968433446929843,19.60725336399786,True,-0.607632011750767,0.7650452058018685,0.9041795560292316,0.4011742111941418
C10_BC_PP_T1_29nov24_HBenavides_corr,382.9211634730529,4.111513075324552,0.9743798831063694,2.608736602330415,True,2.2786451149355873,-0.043400808151887786,-1.4182094383815782,-0.39203922024615445
C10_BC_PP_T2_29nov24_HBenavides_corr,292.43713445239075,5.294146801792212,0.9821168588093883,36.61500417234853,True,1.4466076709772695,0.5381458733818519,-0.6183208213297215,-0.07906764971144409
C10_BC_PP_T3_29nov24_HBenavides_corr,272.5078363510111,5.957889550981755,0.9835978873409076,17.57497707860831,True,1.2633496702933174,0.8645338196618668,-0.4652044216712489,-0.007734252131292502
C10_BC_PSb_T1_29nov24_HBenavides_corr,63.370102263817294,3.6710327314110347,0.9973254572040571,82.91286205434936,True,-0.6597568446189171,-0.26000200643570115,0.9540228442270899,0.3499665368476003
C10_BC_PSb_T2_29nov24_HBenavides_corr,35.324605405507555,5.33725068758452,0.9985625088910408,95.40107545524185,True,-0.9176465934849907,0.5593417188771408,1.0819156541705142,0.43329128978430975
C10_Gr_PM_T1_30nov24_CGomez_corr,160.46923101072156,5.6648546665753345,0.9847282702538865,1.7163607304503046,True,0.2331091314828465,0.7204372487741288,-0.34833958200928866,-0.08706777067238101
C10_Gr_PM_T2_30nov24_CGomez_corr,78.10274494298085,2.5550137289865473,0.9956822468167437,58.25319268569905,True,-0.5242842038645659,-0.808791655219917,0.7841392443961499,0.2501916786596311
C10_Gr_PM_T3_30nov24_CGomez_corr,113.18955076192361,6.039928064709057,0.9913718825352738,21.791229232785085,True,-0.20164675561843862,0.9048753255299371,0.3385114621156157,0.19450227545477564
C10_Gr_PP_T1_30nov24_HBenavides_corr,343.56736167002043,5.524446390130932,0.9748996627215334,34.73517923480296,True,1.9167709033577598,0.6513930760952372,-1.3644719298893293,-0.3643197286393921
C10_Gr_PP_T2_30nov24_HBenavides_corr,127.02932242394449,6.3795679959780385,0.9880306167598626,33.784654472781455,True,-0.07438442697030671,1.0718893980405986,-0.006925897763063102,0.05914863828688698
