image_stem,bleached_percentage,mean_raw_red_z,mean_albedo_z,mean_luminance_z,mean_saturation_z,median_raw_red_z,median_albedo_z,median_luminance_z,median_saturation_z,median_whiteness_score,mean_whiteness_score
C1_Gy_PM_T1_27nov24_CGomez_corr,0.6252482953453382,-1.004113684605326,-0.2749250548842589,-0.2980491572235063,0.2722299269410966,-0.3254701395594615,-0.0962457645222826,-0.0783069341085943,0.0145097659564774,0.014277143431607386,0.19991797197445194
C1_Gy_PM_T2_27nov24_CGomez_corr,0.0020934348947927,-0.4102429710734544,-0.1431929106323946,0.4311936479508668,0.0343343762542179,-0.1603072725515507,0.1457172865279373,0.4421090641417128,0.2298921406619095,0.19613979292525868,0.13084494464913027
C1_Gy_PM_T3_27nov24_CGomez_corr,0.4579237707329844,-0.4884141576781337,1.1334528217387878,1.5394438668261683,-0.5743571419683979,-0.6412497755822892,1.5979389896750356,1.655389047373092,-0.6512789359041128,0.46451292074547657,0.39480874583633224
C1_Gy_PP_T1_27nov24_CDaza_corr,0.0524175925383256,0.50535569242645,-0.609673682380267,-0.6006357399913822,-1.1114391045495686,0.0062058470037071,-0.4500172207733375,-0.661484675476742,-1.3389399745469592,-0.5877572782658079,-0.6720338680428029
C1_Gy_PP_T2_27nov24_CDaza_corr,0.4130389985145218,0.153771756631376,0.5489349788522272,-0.3011979215863201,0.4791614603560826,0.6607851734023109,-0.5996389159647683,-0.6291424288182907,-0.0724700982795087,-0.31958512691027186,0.19019395409591172
C1_Gy_PP_T3_27nov24_CDaza_corr,0.1914657373490829,-0.3356256537118119,-0.377798012442087,-0.0722625981598257,-0.6230430031117437,-0.1605494207097913,-0.6063134843530131,-0.1727244271224228,-0.7377145644404496,-0.32077794742274307,-0.21207669404264026
C1_Gy_PSa_T1_27nov24_CDaza_corr,0.4115656768068501,1.3589785347226022,-0.9051379868684344,-1.4315076028511595,-0.7861325528489199,0.5567389036023308,-1.1228935685809425,-1.926359574244615,-0.8177740651812956,-0.8590135913489393,-0.9401168521230348
C1_Gy_PSa_T2_27nov24_CDaza_corr,0.0,1.0040637175585645,-0.2551371458724988,0.8153344223269932,-0.3165171024424546,0.1394113030161936,-0.1442102718647069,0.7210359144994739,-0.617002209002877,-0.07532037158477667,-0.25364243805180575
C1_Gy_PSb_T1_27nov24_CGomez_corr,0.8648877301599561,-0.8371184141306882,-0.0075174406906859,2.8106706763084883,-0.9952487615189142,-0.5068200578154489,0.8016730109367882,2.6869243956599167,-0.9034677381667772,0.45621597953757986,0.27676128108777454
C1_Gy_PSb_T2_27nov24_CGomez_corr,0.0,1.5062628965941325,-0.6754368461443885,-0.402112524599266,-0.4982106779309705,0.7671343090625137,-0.447994838493426,-0.338300735058576,-0.2533948965269708,-0.3042407033070701,-0.6850590809528377
C1_Gy_PSb_T3_27nov24_CGomez_corr,0.0,-0.2623671687078011,-0.3551579368153704,-0.5938923514728559,0.1642546429238276,-0.1976036202237174,-0.2490806945366708,-0.5618221234920283,0.3124280319282221,-0.03457359006872843,-0.05446518209403219
