image,lap_var_gray_masked,lbp_var_gray_masked,perc_bleached,has_bleached
C10_BC_PM_T1_29nov24_CDaza_corr,130.9377529045285,6.588751712823901,16.614988931659084,True
C10_BC_PM_T2_29nov24_CDaza_corr,84.04191683412797,3.246623607806412,68.69891489310838,True
C10_BC_PM_T3_29nov24_CDaza_corr,69.03867514378392,5.755569438278084,19.60725336399786,True
C10_BC_PP_T1_29nov24_HBenavides_corr,382.9211634730529,4.111513075324552,2.608736602330415,True
C10_BC_PP_T2_29nov24_HBenavides_corr,292.43713445239075,5.294146801792212,36.61500417234853,True
C10_BC_PP_T3_29nov24_HBenavides_corr,272.5078363510111,5.957889550981755,17.57497707860831,True
C10_BC_PSb_T1_29nov24_HBenavides_corr,63.370102263817294,3.6710327314110347,82.91286205434936,True
C10_BC_PSb_T2_29nov24_HBenavides_corr,35.324605405507555,5.33725068758452,95.40107545524185,True
C10_Gr_PM_T1_30nov24_CGomez_corr,160.46923101072156,5.6648546665753345,1.7163607304503046,True
C10_Gr_PM_T2_30nov24_CGomez_corr,78.10274494298085,2.5550137289865473,58.25319268569905,True
C10_Gr_PM_T3_30nov24_CGomez_corr,113.18955076192361,6.039928064709057,21.791229232785085,True
C10_Gr_PP_T1_30nov24_HBenavides_corr,343.56736167002043,5.524446390130932,34.73517923480296,True
C10_Gr_PP_T2_30nov24_HBenavides_corr,127.02932242394449,6.3795679959780385,33.784654472781455,True
C10_Gr_PP_T3_30nov24_HBenavides_corr,93.49366098052244,6.090190540438718,33.58629709249557,True
C10_Gr_PSa_T1_30nov24_CDaza_corr,49.92153069352981,2.2894837795746277,96.17612027806307,True
C10_Gr_PSa_T2_30nov24_CDaza_corr,45.0211674803067,0.837439466241863,43.116758244680284,True
C10_Gr_PSa_T3_30nov24_CDaza_corr,57.71665796315607,1.8381122725876722,94.82467757036937,True
C10_PB_PM_T1_19nov24_CGomez_Corr,114.88792306234099,0.7529866102556877,100.0,True
C10_PB_PM_T2_19nov24_CGomez_Corr,99.39660362733234,4.087057883494146,0.0,False
C10_PB_PP_T1_19nov24_CGomez_Corr,51.54814061095495,0.8506278225543833,95.44524188908655,True
C10_PB_PP_T2_19nov24_CGomez_Corr,101.27466000055709,3.5771464878363646,0.0,False
C10_PB_PP_T3_19nov24_CGomez_Corr,93.97393624476477,4.023286947526849,0.0,False
C10_PB_PSA_T1_19nov24_HBenavides_Corr,14.8947091153725,0.8807240184103514,0.0,False
C10_PB_PSb_T1_19nov24_HBenavides_Corr,62.00297008896397,2.095861779894921,81.91004125802131,True
C10_PB_PSb_T2_19nov24_HBenavides_Corr,49.25035870715985,2.726489241631905,52.143846229312494,True
C10_PB_PSb_T3_19nov24_HBenavides_Corr,459.90357980851957,4.395266685604233,4.315320881027693,True
C11_BC_PM_T1_29nov24_CDaza_corr,151.74753913648178,6.703732321921021,34.25062553608769,True
C11_BC_PM_T2_29nov24_CDaza_corr,102.32870708024933,6.4358909060307665,50.064044377527026,True
C11_BC_PM_T3_29nov24_CDaza_corr,136.04443305078283,3.5050133770193597,37.964986241436435,True
C11_BC_PP_T1_29nov24_HBenavides_corr,121.10535797856286,4.197260268818268,0.0,False
C11_BC_PP_T2_29nov24_HBenavides_corr,132.33774234760497,2.96469450904294,0.0,False
C11_BC_PP_T3_29nov24_HBenavides_corr,141.40853044463998,5.684222208718084,64.8278657930181,True
C11_Gr_PM_T1_30nov24_CGomez_corr,131.31037285962535,5.915812475793951,46.77538521043525,True
C11_Gr_PM_T2_30nov24_CGomez_corr,182.54179664659858,6.065581912287805,21.979092314189767,True
C11_Gr_PM_T3_30nov24_CGomez_corr,114.13575812885279,5.4868687235861096,67.98797025814709,True
C11_Gr_PP_T1_30nov24_HBenavides_corr,136.18432282976875,3.1380514845485745,74.74995887832898,True
C11_Gr_PP_T2_30nov24_HBenavides_corr,232.06028794601488,3.585238461172528,16.89014172155715,True
C11_Gr_PP_T3_30nov24_HBenavides_corr,114.78667397604657,4.496733032759684,4.556801823515867,True
C11_Gr_PSa_T1_30nov24_CDaza_corr,42.14027784984424,1.4559706118974287,91.9702366050552,True
C11_Gr_PSa_T2_30nov24_CDaza_corr,60.58715921290929,2.8007170171943376,95.7458507873581,True
C11_Gr_PSa_T3_30nov24_CDaza_corr,78.18454500479524,2.015651602565332,11.18668730981783,True
