image,lap_var_gray_masked,lbp_var_gray_masked,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,perc_bleached,has_bleached
C2_Gy_PSb_T2_27nov24_CGomez_corr,238.1484360260034,6.054766181459712,118.21668275524951,0.5536119125297623,0.44221212106466884,0.9828275576203991,13.954582634891432,True
C2_Gy_PSb_T3_27nov24_CGomez_corr,233.44897494291885,6.653445371275075,125.19047733189727,0.38562442284778387,0.24164768028023242,0.9796220757188259,17.09289851331971,True
C2_PB_PM_T1_19nov24_CGomez_Corr,51.038802949601376,2.9518564434143912,21.18391604048527,0.8414433933359831,0.7928648068665358,0.9957935723503847,1.3261404246636677,True
C2_PB_PM_T3_19nov24_CGomez_Corr,7.910644719033831,0.24693412517043112,2.9225387536772005,0.9883720762919967,0.9847985572412495,0.9943744825525385,0.0,False
C2_PB_PP_T1_19nov24_CGomez_Corr,79.03114981201063,1.557204737023779,27.380927999809003,0.9179914159989122,0.9016231508796475,0.9883963547069117,0.0,False
C2_PB_PP_T2_19nov24_CGomez_Corr,52.940230560337724,2.8453997160705917,22.785851026155107,0.8458205680308978,0.8056240164829905,0.993928428106434,0.0,False
C2_PB_PSA_T1_19nov24_HBenavides_Corr,43.053395146354035,2.510966951095309,16.32696127285365,0.8701498416581761,0.81476167223819,0.9983953575630979,83.15084839080208,True
C2_PB_PSA_T2_19nov24_HBenavides_Corr,7.082855086359178,0.16510708506966643,2.7474832508608884,0.9927243072791891,0.9881683707300557,0.9888070948661667,0.0,False
C2_PB_PSb_T2_19nov24_HBenavides_Corr,31.112728937894904,0.4926101934789734,9.496638487708214,0.9757936151772917,0.969026884537671,0.9925445593212918,42.64291925191222,True
C3_BC_EM_T1_29nov24_CGomez_corr,67.69262411271067,4.618922835914997,35.49620661869156,0.7101010147382526,0.6163503710636343,0.9959758043279019,46.775314324062414,True
C3_BC_EM_T2_29nov24_CGomez_corr,80.67585761944973,5.149763911810364,44.220532162419225,0.6598827656164159,0.5546825427277706,0.9925774706143512,0.0,False
