image_stem,bleached_percentage,mean_raw_red_z,mean_albedo_z,mean_luminance_z,mean_saturation_z,median_raw_red_z,median_albedo_z,median_luminance_z,median_saturation_z
C10_BC_PM_T1_29nov24_CDaza_corr,0.16614988931659086,1.7111129718317937,-0.6814335004892157,-1.1460058895026144,0.6454321541740492,2.1429494664239495,-0.9518049864622493,-1.3722157523672185,0.467479534356575
C10_BC_PM_T2_29nov24_CDaza_corr,0.6869891489310839,0.6017474272727574,-0.4795297729142387,-0.47248322696835116,0.6517117023648825,1.5628509801290706,-0.7883513445955923,-0.6814504061650821,0.44471948267923034
C10_BC_PM_T3_29nov24_CDaza_corr,0.1960725336399786,1.304991950944618,-0.5566575838503933,-0.27618006193655437,0.8163317526568429,2.328562790196981,-0.5953576730871966,-0.5754337743704083,0.8015349833038689
C10_BC_PP_T1_29nov24_HBenavides_corr,0.026087366023304148,-0.7683144603298367,-0.5252856393126939,-0.1701764144767453,0.18110488354179094,-0.07437110371318771,-0.7791847038629041,-0.33311579698542193,0.0029468661257344374
C10_BC_PP_T2_29nov24_HBenavides_corr,0.36615004172348525,0.5280900030252881,-0.6491067032503571,-0.6464872366190948,0.16565517749716374,1.0347866913403956,-0.9892966530886246,-0.8315569080348438,-0.002699284027975921
C10_BC_PP_T3_29nov24_HBenavides_corr,0.1757497707860831,0.7321343603585843,-0.3967346851995571,-0.12257924381114915,0.47038195606280386,1.2718011857084945,-0.7490343609540958,-0.30163705419763726,0.3158634986943915
C10_BC_PSb_T1_29nov24_HBenavides_corr,0.8291286205434936,-1.970854094396019,0.9475363566249803,1.5119092307654936,2.0623473526777016,-2.1301634875729603,0.5079063213041021,1.4179120605998219,1.1040655877841123
C10_BC_PSb_T2_29nov24_HBenavides_corr,0.9540107545524185,-1.6125369700596035,-0.3453542631544276,1.3398320136510453,0.3306927057237171,-1.461328763889098,-0.09632898175638165,1.1924240197303597,0.2766110471417413
C10_Gr_PM_T1_30nov24_CGomez_corr,0.017163607304503045,-0.4062239630618438,-0.7907548706590862,-0.9076709013670569,-1.2329255613242278,-0.3374171396813903,-0.3779463836133643,-0.6794152438688672,-0.9708443202269195
C10_Gr_PM_T2_30nov24_CGomez_corr,0.5825319268569905,-1.645307477084488,2.111488227707639,1.4101252589601714,2.4621831609053473,-1.9143947284389247,2.2138152806488884,1.5765445446640862,3.0747606013212185
C10_Gr_PM_T3_30nov24_CGomez_corr,0.21791229232785084,-0.07995873248425744,-0.35031911955509043,-0.5209925412206295,-0.4808394399629585,-0.3128065283905566,-0.6401932873979799,-0.6519799809935951,-0.6269317269228926
C10_Gr_PP_T1_30nov24_HBenavides_corr,0.34735179234802965,-0.4734626465122695,-0.6642813200929156,-0.6481230834824095,0.2780459046108932,-0.3271805413979989,-0.5259689584414332,-0.7227990429357191,0.2192463100386354
C10_Gr_PP_T2_30nov24_HBenavides_corr,0.33784654472781456,-1.1786138907167298,-0.5290611488437138,-0.7950622090928273,-0.2290802215748206,-0.9213303813524107,-0.8528959487012263,-1.1324122266678003,-0.320675149205681
C10_Gr_PP_T3_30nov24_HBenavides_corr,0.3358629709249557,-0.5078768180620586,0.15542473264887274,0.43392352761629005,1.990997162287024,-0.023738169660761973,-0.10091289117650638,0.5555832039437724,2.187523472972091
C10_Gr_PSa_T1_30nov24_CDaza_corr,0.9617612027806307,-1.7759600793171595,3.7816781943649755,2.1915552399801035,1.2528183454609012,-1.5261771469265648,4.544980409168802,2.265701167495774,1.652901141924207
C10_Gr_PSa_T2_30nov24_CDaza_corr,0.43116758244680287,0.9640879148526993,1.6184054084033361,0.6617243555974137,0.5862088477151067,0.11019987671878763,0.554426575877125,0.4374134822128808,0.2716801974736211
C10_Gr_PSa_T3_30nov24_CDaza_corr,0.9482467757036938,-0.8020091475671874,4.792504547328421,1.7658512384450433,1.3200134025260999,-0.8696501872450558,4.911715011319007,1.708301589282183,1.4471105418434718
